4	500
     7.06056	     1.22810	    -0.64030	     1.40781
     3.06084	     1.21309	     0.13445	    -0.42741
     1.55544	     0.70200	     1.95380	    -1.20771
     1.04965	    -0.33963	    -0.72942	    -1.87122
     1.99877	    -0.25448	     1.90805	    -0.63421
     2.19189	    -1.86504	     1.65753	    -1.97392
     3.80116	    -1.49236	    -0.58873	    -0.08265
     4.33710	     0.93135	     0.13895	     0.46381
     3.11855	     0.51543	    -1.12417	     0.01867
     4.91686	    -0.41761	    -0.62365	     0.86044
     4.13568	     1.04092	    -0.31403	     0.33616
     2.68552	    -0.72855	    -1.83255	    -0.26545
     4.82969	     1.95169	     0.67718	     0.16071
     5.90849	    -1.85508	     0.32941	     0.72226
     3.24797	    -0.19466	    -1.35212	     0.16129
     0.86110	     0.05705	     1.30535	    -1.97574
     1.58524	    -0.84472	    -0.76021	    -1.45535
     2.46986	     0.15747	     0.04771	    -0.45120
     6.71043	    -1.10168	     1.83984	     1.38529
     5.73838	     1.64245	     0.28215	     0.77050
     1.18133	    -0.73589	    -0.99582	    -1.87200
     3.71252	     1.18200	     1.21322	     0.11023
     1.09566	    -0.02757	     1.53348	    -1.58982
     8.62384	    -1.74243	    -1.65390	     1.70769
     7.42631	    -0.58384	     0.98938	     1.65143
     3.02141	     0.14940	     1.61809	     0.05576
     7.08657	    -0.28391	     0.38274	     1.56535
     1.98192	    -0.15292	     1.70977	    -0.65505
     6.54407	    -1.61159	    -0.76248	     1.11166
     1.82097	    -1.02601	     1.48716	    -1.22383
     1.58228	    -0.58372	    -0.51234	    -1.32394
     9.14319	    -1.83661	     1.26512	     1.79149
     2.81274	     1.97404	     1.94979	    -1.30859
     3.81762	    -0.54686	     1.22624	     0.39532
     4.69554	    -0.83413	     1.68068	     0.74543
     8.43184	     1.42609	     1.13062	     1.74224
     7.74202	    -0.83963	    -1.37366	     1.70885
     6.86207	    -1.73539	     1.65872	     1.20295
     2.56499	    -1.72211	     1.84823	    -1.18798
     4.05247	     0.86029	    -1.40708	     0.43609
     2.18513	    -0.82984	    -0.47741	    -0.85090
     3.03335	     1.87402	    -0.18711	    -1.15850
     3.15000	     0.46936	     1.09990	     0.04584
     4.54164	     1.42634	     1.00552	     0.39930
     3.65621	     0.42867	    -1.26556	     0.34025
     6.86878	     0.16496	    -1.67742	     1.55925
     3.35062	    -0.62280	    -1.40223	     0.14504
     4.05663	    -1.94654	    -1.79303	    -0.21345
     6.23910	    -0.48111	     1.22487	     1.33641
     5.59048	    -1.39568	    -0.49641	     0.84242
     1.43903	     0.96859	    -0.14155	    -1.90407
     0.88162	    -0.31017	    -1.97887	    -1.86780
     7.55887	     1.18777	    -0.89558	     1.57032
     3.92598	     1.75517	     0.16839	    -0.26139
     3.67665	     0.40843	     1.34021	     0.35877
     3.62566	     0.48151	     1.40195	     0.32412
     1.29090	    -0.53452	    -0.52179	    -1.66207
     2.61528	     1.94989	     0.24155	    -1.81571
     1.39343	    -0.05371	     0.12777	    -1.45813
     2.31953	    -1.60719	    -1.21476	    -1.38726
     2.88941	     0.96069	    -0.82832	    -0.32238
     7.31294	    -0.06409	    -0.76143	     1.64848
     7.28241	    -0.61460	    -1.47265	     1.62639
     7.31498	    -1.41942	    -1.78992	     1.46777
     6.74059	    -1.60608	    -1.35215	     1.20629
     4.51979	     1.30663	    -0.32963	     0.40554
     4.61053	    -0.30383	    -1.61579	     0.80451
     1.82364	    -0.16517	     0.77211	    -0.90501
     6.85327	    -0.56817	     0.42849	     1.47515
     3.47346	     1.52997	     1.43614	    -0.25073
     9.42926	     1.33679	     0.93549	     1.99336
     4.07473	    -0.60162	    -0.02853	     0.42579
     2.36401	     0.88470	    -1.66835	    -0.59257
     2.06854	     1.38711	     0.26693	    -1.53912
     0.94833	    -0.15676	     1.01062	    -1.91282
     6.38770	     0.47777	    -1.48225	     1.39184
     1.34280	    -0.67024	     0.83810	    -1.61935
     8.21351	    -0.36617	     0.28254	     1.84346
     2.04944	    -1.74850	     1.39194	    -1.98969
     6.05380	    -0.24176	     1.15439	     1.29735
     2.51056	    -1.77730	     0.89922	    -1.48405
     5.02241	    -1.30291	    -0.27582	     0.63530
     1.56413	     0.91412	    -1.85209	    -1.36654
     6.06711	     1.23495	    -0.93475	     1.10160
